Lib_GGA.65_S2_R1_001	Lib_GGA.71_S4_R1_001	Lib_GGA.88_S6_R1_001	Lib_GGA.90_S8_R1_001	Lib_GGA.64_S1_R1_001	Lib_GGA.70_S3_R1_001	Lib_GGA.87_S5_R1_001	Lib_GGA.89_S7_R1_001
GNLY	5.15459360271875	5.93793952754298	2.03248095331428	5.03603961416776	7.67265166755298	8.39991946297838	4.72854025159553	8.17314898448925
SKIL	6.69806476216073	6.36286292822922	6.43988980965173	6.32536950510456	4.97198250429459	4.73860447706486	4.80378896735208	4.59314124272592
PRKCD	6.44382192120367	6.35354845626268	6.90138380942786	6.827878449705	4.73723910575234	4.49639737179764	4.81595749899693	4.80016722939301
APOBEC3G	9.15136437189394	9.54332645994653	9.75299899421416	9.8134651769279	7.65054308243722	7.79719665134819	7.76573313023383	8.01512846543673
DMD	7.06060799638664	6.77134794852038	6.71550963036789	6.5206027687679	5.40667844116278	4.84417374672724	5.09427240014048	4.73847710998784
ATP8B2	7.13801989187064	6.52039742402419	6.62409238564878	6.54317337605367	4.9760136495982	4.78858094554034	4.60775358084668	4.74658692712955
SATB1	7.8239937069911	7.20149131798189	6.90557447053307	7.49718659823959	9.69928671823684	9.12405130936725	8.94547589732081	9.02499904849991
PTHLH	3.64551730643164	4.08773621428113	4.96418073014343	2.92089750388086	0.434312176120518	0.445651761401476	0.438157054986618	0.337244834061302
GPR25	3.67596164414469	3.44786491635867	1.62596126356062	2.92089750388086	0.268919913136213	0.28351592509923	0.109508395512147	0.248657692767673
KRT79	2.71513880178342	3.17321174327178	4.99072174289693	3.486957674285	0.495501616599547	0.445651761401476	1.20238576986816	0.420705637047153
CAMSAP2	5.43572908388894	4.83693503094456	5.31864009526374	4.71133826569701	1.74061516295549	1.54509113843318	2.32822983162017	1.06418395158656
MT1E	4.61614914456755	3.79317899164292	4.78975770538154	4.94000919835299	6.74336700316629	5.99863548655415	6.66039380542442	6.71555280946223
NPTX1	4.55194010228758	4.42662101894979	5.99082610790171	5.29948731515075	2.62788229392391	2.62657657721448	3.746370412434	3.31522069742792
IL32	8.22951898279878	8.06295114047438	7.37693372675843	8.1423665878843	9.63365741114517	9.92209992977342	9.21583090317664	9.97083065864427
TP53I11	5.20318257696757	5.45622309468758	5.59836649662606	5.46325858719625	2.80752015775938	2.50306559982752	3.14512708501735	3.13543447974685
NEK6	6.5822885458445	6.4079113903094	7.32850836743104	6.45391473477106	4.61503836630769	4.56858894351794	5.7735752895816	4.6286784154058
PTK2	6.62971965480131	5.40561621079675	6.72870970327826	5.5048755501263	3.23283302337874	2.68458061148811	4.25836258144944	2.62151790398659
CHST3	3.54070631296401	2.7222989955613	3.75690211282286	2.20150640926111	0.465231277718899	0.32578989392293	0.740119903302589	0.154273021564897
CTSL	5.44333405415295	5.00613155515848	3.54878883199055	3.83427838734355	2.43832020676474	1.71376367508964	1.29802487404024	0.984134391523429
APOD	7.42978071203191	8.36264795461823	9.70685324794654	8.05273652686214	3.37800900796499	2.48452524653555	4.42121534065534	2.95121885827494
RBPJ	9.61087791141357	9.63322085454295	9.3733540749783	9.33047178497086	8.15214295622927	7.74995063815995	7.86105673177906	7.85322117643582
CTSW	7.37184680390465	6.60581515223222	7.01865766265604	7.8160145889057	8.75069098894539	7.9884140366946	8.22559042370782	9.06709429871258
NIPAL4	4.86293302587943	4.63866763643879	4.52989625615614	3.85393080764388	1.63580020025386	1.68156999915719	2.06827601016436	1.23531559486202
VASH1	4.65159645486865	4.37494601390319	4.30584632514361	4.12374295461764	2.01589329745489	2.02729514240536	2.1602309661323	1.84631124278828
STMND1	3.27125596020758	3.90670686274411	5.20081917032234	3.42524154665035	1.11828539708737	1.56287393735908	2.22250024643439	0.899380911577859
